  Global optimal solution found.
  Objective value:                              17.00000
  Extended solver steps:                            9859
  Total solver iterations:                       8496226


                       Variable           Value        Reduced Cost
                      TE( 9, 8)        1.000000            0.000000
                     TE( 10, 1)        1.000000            0.000000
                     TE( 10, 2)        1.000000            0.000000
                     TE( 10, 3)        1.000000            0.000000
                     TE( 10, 5)        1.000000            0.000000
                     TE( 10, 6)        1.000000            0.000000
                     TE( 10, 7)        1.000000            0.000000
                     TE( 10, 8)        1.000000            0.000000
                     TE( 11, 1)        1.000000            0.000000
                     TE( 11, 2)        1.000000            0.000000
                     TE( 11, 3)        1.000000            0.000000
                     TE( 11, 5)        1.000000            0.000000
                     TE( 11, 6)        1.000000            0.000000
                     TE( 11, 7)        1.000000            0.000000
                     TE( 11, 8)        1.000000            0.000000
                     TE( 12, 1)        1.000000            0.000000
                     TE( 12, 2)        1.000000            0.000000
                     TE( 12, 3)        1.000000            0.000000
                     TE( 12, 5)        1.000000            0.000000
                     TE( 12, 7)        1.000000            0.000000
                     TE( 12, 8)        1.000000            0.000000
                     TE( 13, 1)        1.000000            0.000000
                     TE( 13, 2)        1.000000            0.000000
                     TE( 13, 3)        1.000000            0.000000
                     TE( 13, 5)        1.000000            0.000000
                     TE( 13, 7)        1.000000            0.000000
                     TE( 13, 8)        1.000000            0.000000
                     TE( 14, 1)        1.000000            0.000000
                     TE( 14, 2)        1.000000            0.000000
                     TE( 14, 3)        1.000000            0.000000
                     TE( 14, 5)        1.000000            0.000000
                     TE( 14, 7)        1.000000            0.000000
                     TE( 14, 8)        1.000000            0.000000
                     TE( 15, 1)        1.000000            0.000000
                     TE( 15, 2)        1.000000            0.000000
                     TE( 15, 3)        1.000000            0.000000
                     TE( 15, 7)        1.000000            0.000000
                     TE( 15, 8)        1.000000            0.000000
                     TE( 16, 1)        1.000000            0.000000
                     TE( 16, 2)        1.000000            0.000000
                     TE( 16, 3)        1.000000            0.000000
                     TE( 16, 7)        1.000000            0.000000
                     TE( 16, 8)        1.000000            0.000000
                     TE( 17, 2)        1.000000            0.000000
                     TE( 17, 3)        1.000000            0.000000
                     TE( 17, 7)        1.000000            0.000000
                     TE( 17, 8)        1.000000            0.000000
                     TE( 18, 2)        1.000000            0.000000
                     TE( 18, 3)        1.000000            0.000000
                     TE( 18, 7)        1.000000            0.000000
                     TE( 18, 8)        1.000000            0.000000
                     TE( 19, 2)        1.000000            0.000000
                     TE( 19, 3)        1.000000            0.000000
                     TE( 19, 7)        1.000000            0.000000
                     TE( 19, 8)        1.000000            0.000000
                     TE( 20, 2)        1.000000            0.000000
                     TE( 20, 3)        1.000000            0.000000
                     TE( 20, 7)        1.000000            0.000000
                     TE( 20, 8)        1.000000            0.000000
                     TE( 21, 3)        1.000000            0.000000
                     TE( 21, 7)        1.000000            0.000000
                     TE( 21, 8)        1.000000            0.000000
                     TE( 22, 3)        1.000000            0.000000
                     TE( 22, 7)        1.000000            0.000000
                     TE( 22, 8)        1.000000            0.000000
                     TE( 23, 3)        1.000000            0.000000
                     TE( 23, 7)        1.000000            0.000000
                     TE( 23, 8)        1.000000            0.000000
                     TE( 24, 3)        1.000000            0.000000
                     TE( 24, 7)        1.000000            0.000000
                     TE( 24, 8)        1.000000            0.000000
                     TE( 25, 3)        1.000000            0.000000
                     TE( 25, 7)        1.000000            0.000000
                     TE( 25, 8)        1.000000            0.000000
                     TE( 26, 3)        1.000000            0.000000
                     TE( 26, 8)        1.000000            0.000000
                     TE( 27, 3)        1.000000            0.000000
                     TE( 27, 8)        1.000000            0.000000
                     TE( 28, 3)        1.000000            0.000000
                     TE( 28, 8)        1.000000            0.000000
                     TE( 29, 3)        1.000000            0.000000
                     TE( 29, 8)        1.000000            0.000000
                     TE( 30, 3)        1.000000            0.000000
                     TE( 30, 8)        1.000000            0.000000
                     TE( 31, 3)        1.000000            0.000000
                     TE( 31, 8)        1.000000            0.000000
                     TE( 32, 3)        1.000000            0.000000
                     TE( 32, 8)        1.000000            0.000000
                     TE( 33, 3)        1.000000            0.000000
                       R( 1, 1)        1.000000            0.000000
                       R( 1, 2)        1.000000            0.000000
                       R( 1, 3)        1.000000            0.000000
                       R( 1, 4)        1.000000            0.000000
                       R( 1, 5)        1.000000            0.000000
                       R( 1, 6)        1.000000            0.000000
                       R( 1, 7)        1.000000            0.000000
                       R( 1, 8)        1.000000            0.000000
                       R( 1, 9)        1.000000            0.000000
                      R( 1, 10)        1.000000            0.000000
                      R( 1, 11)        1.000000            0.000000
                      R( 1, 12)        1.000000            0.000000
                      R( 1, 13)        1.000000            0.000000
                      R( 1, 14)        1.000000            0.000000
                      R( 1, 15)        1.000000            0.000000
                      R( 1, 16)        1.000000            0.000000
                      R( 1, 17)        1.000000            0.000000
                      R( 1, 18)        1.000000            0.000000
                      R( 1, 19)        1.000000            0.000000
                      R( 1, 20)        1.000000            0.000000
                      R( 1, 21)        1.000000            0.000000
                      R( 1, 22)        1.000000            0.000000
                      R( 1, 23)        1.000000            0.000000
                      R( 1, 24)        1.000000            0.000000
                      R( 1, 25)        1.000000            0.000000
                       R( 2, 7)        1.000000            0.000000
                       R( 2, 8)        1.000000            0.000000
                       R( 2, 9)        1.000000            0.000000
                      R( 2, 10)        1.000000            0.000000
                      R( 2, 11)        1.000000            0.000000
                      R( 2, 12)        1.000000            0.000000
                      R( 2, 13)        1.000000            0.000000
                      R( 2, 14)        1.000000            0.000000
                      R( 2, 15)        1.000000            0.000000
                      R( 2, 16)        1.000000            0.000000
                      R( 2, 17)        1.000000            0.000000
                      R( 2, 18)        1.000000            0.000000
                      R( 2, 19)        1.000000            0.000000
